Run,Case,Dimensions,Naive CPU (s),Blocked CPU (s),Parallel CPU (s),Blocked CPU Speedup (x),Parallel CPU Speedup (x)
1,0,64x64x64,0.0019491,0.0026309,0.0018225,0.740849,1.06947
2,0,64x64x64,0.0017245,0.0028794,0.0018713,0.598909,0.921552
3,0,64x64x64,0.0019276,0.0026358,0.0022916,0.731315,0.841159
4,0,64x64x64,0.0017484,0.0034923,0.0021105,0.500644,0.828429
5,0,64x64x64,0.0017528,0.0041134,0.0017598,0.42612,0.996022
1,1,128x64x128,0.0076934,0.0108692,0.0063598,0.707817,1.20969
2,1,128x64x128,0.0071812,0.0107395,0.0056323,0.668672,1.275
3,1,128x64x128,0.0069771,0.0140177,0.0054505,0.497735,1.28008
4,1,128x64x128,0.0069607,0.014579,0.0076411,0.477447,0.910955
5,1,128x64x128,0.0068573,0.0108576,0.0064921,0.631567,1.05625
1,2,100x128x56,0.0049255,0.0073776,0.0042252,0.667629,1.16574
2,2,100x128x56,0.0054051,0.0072936,0.0037434,0.741074,1.4439
3,2,100x128x56,0.0047438,0.0082289,0.0043019,0.57648,1.10272
4,2,100x128x56,0.0047747,0.0075929,0.0037697,0.628837,1.2666
5,2,100x128x56,0.0050113,0.0077994,0.0041265,0.642524,1.21442
1,3,128x64x128,0.0070378,0.0111478,0.0055711,0.631317,1.26327
2,3,128x64x128,0.0077233,0.0107058,0.0060156,0.721413,1.28388
3,3,128x64x128,0.0082653,0.0116016,0.0072734,0.712428,1.13637
4,3,128x64x128,0.0069262,0.0116711,0.0051075,0.593449,1.35608
5,3,128x64x128,0.0069876,0.0110616,0.0067277,0.631699,1.03863
1,4,32x128x32,0.000886,0.0013438,0.0011742,0.659324,0.754556
2,4,32x128x32,0.0008753,0.0013222,0.0013788,0.662003,0.634827
3,4,32x128x32,0.0008718,0.0013157,0.001376,0.662613,0.633576
4,4,32x128x32,0.0008628,0.0013241,0.0010442,0.651612,0.826279
5,4,32x128x32,0.0008621,0.001751,0.0010973,0.492347,0.785656
1,5,200x100x256,0.0346385,0.0554081,0.0290946,0.625152,1.19055
2,5,200x100x256,0.0344072,0.0620351,0.028623,0.554641,1.20208
3,5,200x100x256,0.0358072,0.0553044,0.0286555,0.647457,1.24958
4,5,200x100x256,0.0366993,0.0544883,0.0287258,0.673526,1.27757
5,5,200x100x256,0.0350153,0.0554343,0.0295454,0.631654,1.18514
1,6,256x256x256,0.117985,0.184305,0.0973928,0.640164,1.21144
2,6,256x256x256,0.118687,0.183993,0.0894349,0.645064,1.32708
3,6,256x256x256,0.123785,0.176335,0.0996314,0.701989,1.24243
4,6,256x256x256,0.116994,0.176169,0.10174,0.664104,1.14994
5,6,256x256x256,0.115812,0.172182,0.106442,0.67261,1.08802
1,7,256x300x256,0.141622,0.208189,0.120195,0.680258,1.17826
2,7,256x300x256,0.135418,0.208156,0.105169,0.650558,1.28762
3,7,256x300x256,0.141095,0.207749,0.127369,0.679159,1.10777
4,7,256x300x256,0.137817,0.205558,0.12991,0.670457,1.06087
5,7,256x300x256,0.138365,0.208123,0.107428,0.664821,1.28798
1,8,64x128x64,0.0034567,0.0063227,0.0031273,0.546713,1.10533
2,8,64x128x64,0.0034725,0.0052857,0.0040551,0.656961,0.856329
3,8,64x128x64,0.0035413,0.0058553,0.0029047,0.604802,1.21916
4,8,64x128x64,0.0035259,0.0054567,0.0028657,0.64616,1.23038
5,8,64x128x64,0.0034832,0.0059242,0.0036419,0.587961,0.956424
1,9,256x256x257,0.123766,0.188032,0.111775,0.658222,1.10728
2,9,256x256x257,0.124791,0.17371,0.0988323,0.718387,1.26266
3,9,256x256x257,0.115502,0.179246,0.113637,0.644381,1.01642
4,9,256x256x257,0.118688,0.185247,0.103625,0.6407,1.14535
5,9,256x256x257,0.119152,0.173386,0.108368,0.687206,1.09951